,货物名称,三级分类,二级分类,一级分类
42,啤酒,酒（白酒、啤酒、果酒类）,饮食品,轻工、医药产品
43,纸箱,线材,钢铁制品,钢铁
44,焦煤,无烟煤,原煤,煤炭及制品
45,烟煤,烟煤,原煤,煤炭及制品
46,食品包装纸,线材,钢铁制品,钢铁
47,玉淀粉,线材,钢铁制品,钢铁
48,白胶板印刷纸,机制纸（新闻纸）,纸及制品(十类),轻工、医药产品
49,陶瓷透水砖,线材,钢铁制品,钢铁
50,热镀圆工具,线材,钢铁制品,钢铁
51,纱,线材,钢铁制品,钢铁
52,银杏,树木,竹、木、藤、花、草,有色金属
53,镀锌扁钢,线材,钢铁制品,钢铁
54,箱,线材,钢铁制品,钢铁
55,象牙白数码纸,线材,钢铁制品,钢铁
56,热处理钢板,板材,钢 材、合金钢材,钢铁
57,铁质料架,线材,钢铁制品,钢铁
58,热轧钢板,板材,钢 材、合金钢材,钢铁
59,矿砂,铁矿,铁矿石,金属矿石
60,扁铁,线材,钢铁制品,钢铁
61,福通南非精粉,线材,钢铁制品,钢铁
62,迪特拉印度粉,线材,钢铁制品,钢铁
63,冷卷镀锌卷,线材,钢铁制品,钢铁
64,热镀锌方管,管材及附件,钢 材、合金钢材,钢铁
65,铁质货架,线材,钢铁制品,钢铁
66,红叶石楠,树木,竹、木、藤、花、草,有色金属
67,黑粉,线材,钢铁制品,钢铁
68,热镀圆加螺旋,线材,钢铁制品,钢铁
69,糊精口服糖,线材,钢铁制品,钢铁
70,尺集装箱柜,线材,钢铁制品,钢铁
71,袋,线材,钢铁制品,钢铁
72,热镀圆加钢塑,线材,钢铁制品,钢铁
73,焊管加热镀圆,管材及附件,钢 材、合金钢材,钢铁
74,一水糖糊精,线材,钢铁制品,钢铁
75,热镀圆FA,线材,钢铁制品,钢铁
76,和光巴西粗粉,线材,钢铁制品,钢铁
77,焊管 螺旋,管材及附件,钢 材、合金钢材,钢铁
78,印度粗粉,铁矿,铁矿石,金属矿石
79,如皋港热镀,线材,钢铁制品,钢铁
80,PI粉,铁矿,铁矿石,金属矿石
81,巴西粗粉,铁矿,铁矿石,金属矿石
82,化肥,线材,钢铁制品,钢铁
83,焊管加黑方,管材及附件,钢 材、合金钢材,钢铁
84,铜铁胶,线材,钢铁制品,钢铁
85,火箭粉,铁矿,铁矿石,金属矿石
86,巴西粉混合,铁矿,铁矿石,金属矿石
87,烟煤绿地,烟煤,原煤,煤炭及制品
88,热镀 钢塑,管材及附件,钢 材、合金钢材,钢铁
89,电线杆,电工器材,电力设备、电器机械及器材,机械设备、电器
90,船板,线材,钢铁制品,钢铁
91,剪铁,线材,钢铁制品,钢铁
92,锰粉,线材,钢铁制品,钢铁
93,普拉蒂印度粉,线材,钢铁制品,钢铁
94,镍铁,线材,钢铁制品,钢铁
95,印度粉,线材,钢铁制品,钢铁
96,葛金正源葛方管,线材,钢铁制品,钢铁
97,镀锌冷轧,线材,钢铁制品,钢铁
98,钢管黑方加焊管,线材,钢铁制品,钢铁
99,南非精粉,线材,钢铁制品,钢铁
100,车钢塑,线材,钢铁制品,钢铁
101,热镀钢塑,线材,钢铁制品,钢铁
102,柴油机配件,线材,钢铁制品,钢铁
103,军用钢,线材,钢铁制品,钢铁
104,lu螺旋,线材,钢铁制品,钢铁
105,热镀加热方和螺旋,线材,钢铁制品,钢铁
106,迪拜宝石印度粉,线材,钢铁制品,钢铁
107,螺旋焊管,线材,钢铁制品,钢铁
108,铁塔,线材,钢铁制品,钢铁
109,钢塑加热镀,线材,钢铁制品,钢铁
110,澳州西部粉,线材,钢铁制品,钢铁
111,车钢塑加热镀圆,线材,钢铁制品,钢铁
112,热镀加热方,线材,钢铁制品,钢铁
113,热镀锌合金锭,线材,钢铁制品,钢铁
114,原浆板,线材,钢铁制品,钢铁
115,镀锌圆,线材,钢铁制品,钢铁
116,铁塔配件,线材,钢铁制品,钢铁
117,低合金开平板,线材,钢铁制品,钢铁
118,铁质料架与挡杆,线材,钢铁制品,钢铁
119,精粉,线材,钢铁制品,钢铁
120,叉车,道路机动车辆,交通运输设备,机械设备、电器
121,盘螺,线材,钢铁制品,钢铁
122,印粉,线材,钢铁制品,钢铁
123,板栗树,树木,竹、木、藤、花、草,有色金属
124,螺旋套管,线材,钢铁制品,钢铁
125,天空粉,线材,钢铁制品,钢铁
126,伊莱亚斯印度粗粉,线材,钢铁制品,钢铁
127,铬合金螺纹钢,线材,钢铁制品,钢铁
128,螺旋加焊管的螺旋,线材,钢铁制品,钢铁
129,丝束,布匹（机织、绒织、网织物、纱罗）,针织、纺织、皮毛及制品,轻工、医药产品
130,澳粉矿,线材,钢铁制品,钢铁
131,水渣,线材,钢铁制品,钢铁
132,H钢,型材,钢 材、合金钢材,钢铁
133,金属螺旋,线材,钢铁制品,钢铁
134,螺旋管套管,线材,钢铁制品,钢铁
135,艾利印度粉,线材,钢铁制品,钢铁
136,铁制料架,线材,钢铁制品,钢铁
137,电线电缆,线材,钢铁制品,钢铁
138,基纳巴卢巴粗粉,线材,钢铁制品,钢铁
139,料架,线材,钢铁制品,钢铁
140,西部澳粉矿,线材,钢铁制品,钢铁
141,合金,线材,钢铁制品,钢铁
142,热镀 焊管 螺旋,管材及附件,钢 材、合金钢材,钢铁
143,印度巴粉,铁矿,铁矿石,金属矿石
144,电缆设备,线材,钢铁制品,钢铁
145,车热镀圆,线材,钢铁制品,钢铁
146,矿精粉,线材,钢铁制品,钢铁
147,设备,线材,钢铁制品,钢铁
148,铁架,线材,钢铁制品,钢铁
149,炉渣,线材,钢铁制品,钢铁
150,超细粉,线材,钢铁制品,钢铁
151,发重庆螺旋,线材,钢铁制品,钢铁
152,液压马达,线材,钢铁制品,钢铁
153,帕拉伯度粉,线材,钢铁制品,钢铁
154,宙斯南非精粉,线材,钢铁制品,钢铁
155,发柳州车热镀管,线材,钢铁制品,钢铁
156,弱焦煤,线材,钢铁制品,钢铁
157,金鱼闪击干燥浆,线材,钢铁制品,钢铁
158,安特拉斯粉,线材,钢铁制品,钢铁
159,燃气镀锌管,线材,钢铁制品,钢铁
160,螺旋和钢塑,线材,钢铁制品,钢铁
161,铝块,精铝及铝材,铝,有色金属
162,热镀圆加白方,线材,钢铁制品,钢铁
163,铁板,线材,钢铁制品,钢铁
164,铬铁,线材,钢铁制品,钢铁
165,中云勐滨白糖,线材,钢铁制品,钢铁
166,淀粉YS,线材,钢铁制品,钢铁
167,铁矿砂,铁矿,铁矿石,金属矿石
168,热镀圆焊管白方,线材,钢铁制品,钢铁
169,螺旋 焊管,管材及附件,钢 材、合金钢材,钢铁
170,花纹铝板,线材,钢铁制品,钢铁
171,热镀加钢塑加螺旋,线材,钢铁制品,钢铁
172,沙热镀箱,线材,钢铁制品,钢铁
173,南非粉,线材,钢铁制品,钢铁
174,津巴布韦粉,线材,钢铁制品,钢铁
175,南粉,线材,钢铁制品,钢铁
176,镀圆加热镀方,线材,钢铁制品,钢铁
177,南粉.％,线材,钢铁制品,钢铁
178,铁矿砂t,铁矿,铁矿石,金属矿石
179,热轧板坯汽运,线材,钢铁制品,钢铁
180,泡棉,布匹（机织、绒织、网织物、纱罗）,针织、纺织、皮毛及制品,轻工、医药产品
181,螺旋发吴江,线材,钢铁制品,钢铁
182,螺旋发西安,线材,钢铁制品,钢铁
183,南粉/,线材,钢铁制品,钢铁
184,螺旋发茌平,线材,钢铁制品,钢铁
185,玉种子,线材,钢铁制品,钢铁
186,F粉,铁矿,铁矿石,金属矿石
187,南非粉球团,线材,钢铁制品,钢铁
188,车焊钢塑,线材,钢铁制品,钢铁
189,镀锌线管,线材,钢铁制品,钢铁
190,钢塑热镀,线材,钢铁制品,钢铁
191,罗泊河粉,线材,钢铁制品,钢铁
192,螺旋发沁阳,线材,钢铁制品,钢铁
193,焊管螺旋发荆州,线材,钢铁制品,钢铁
194,铝绞线,线材,钢铁制品,钢铁
195,津巴布韦粉.,线材,钢铁制品,钢铁
196,津巴布韦粉.％,线材,钢铁制品,钢铁
197,焊螺发铜冶,线材,钢铁制品,钢铁
198,津巴布韦粉％,线材,钢铁制品,钢铁
199,鱼粉,线材,钢铁制品,钢铁
200,焊钢塑,线材,钢铁制品,钢铁
201,防腐油膏,nan,nan,待定
202,钢线材,线材,钢铁制品,钢铁
203,螺旋发铜冶,线材,钢铁制品,钢铁
204,螺旋发宁波,线材,钢铁制品,钢铁
205,物料和铜线,线材,钢铁制品,钢铁
206,南粉。,线材,钢铁制品,钢铁
207,母线槽,线材,钢铁制品,钢铁
208,螺旋方矩管热镀管,管材及附件,钢 材、合金钢材,钢铁
209,南粉，,线材,钢铁制品,钢铁
210,螺旋发安阳,线材,钢铁制品,钢铁
211,FNG西部粉,铁矿,铁矿石,金属矿石
212,罗伊山粉,线材,钢铁制品,钢铁
213,钢筋桁架镀锌板,线材,钢铁制品,钢铁
214,轮胎,橡胶制品,橡胶,化工原料及制品
215,粉矿,铁矿,铁矿石,金属矿石
216,钢管黑方,管材及附件,钢 材、合金钢材,钢铁
217,圆管发银川,线材,钢铁制品,钢铁
218,铁材,线材,钢铁制品,钢铁
219,速线材,线材,钢铁制品,钢铁
220,硅铁,线材,钢铁制品,钢铁
221,钢管热方,管材及附件,钢 材、合金钢材,钢铁
222,"南粉.,",线材,钢铁制品,钢铁
223,马块.％,线材,钢铁制品,钢铁
224,"南粉,",线材,钢铁制品,钢铁
225,铜线十物料,线材,钢铁制品,钢铁
226,啤,线材,钢铁制品,钢铁
227,淀粉糖,线材,钢铁制品,钢铁
228,号原煤,线材,钢铁制品,钢铁
229,不锈钢钢坯,线材,钢铁制品,钢铁
230,方管加螺旋,线材,钢铁制品,钢铁
231,货场铁矿粉,线材,钢铁制品,钢铁
232,锌渣热镀方矩管区,线材,钢铁制品,钢铁
233,仪表板总成,线材,钢铁制品,钢铁
234,铬,线材,钢铁制品,钢铁
235,巴西粉矿,铁矿,铁矿石,金属矿石
236,母线,线材,钢铁制品,钢铁
237,邯郸钢易螺旋热镀钢塑,线材,钢铁制品,钢铁
238,钬粉,线材,钢铁制品,钢铁
239,巴西南部粉,铁矿,铁矿石,金属矿石
240,硅巴粗粉,铁矿,铁矿石,金属矿石
241,铜精粉,线材,钢铁制品,钢铁
242,不锈钢管,条、杆、角、网、栅、丝材,钢 材、合金钢材,钢铁
243,淀粉乳,乳制品，蜂蜜、王浆、粉,饮食品,轻工、医药产品
244,敬业铁矿粉,线材,钢铁制品,钢铁
245,防腐螺旋钢管,管材及附件,钢 材、合金钢材,钢铁
246,抗震钢盘螺,线材,钢铁制品,钢铁
247,铝包钢芯铝绞线,线材,钢铁制品,钢铁
248,螺旋发周口,线材,钢铁制品,钢铁
249,热镀方矩管螺旋管热镀管方矩管,线材,钢铁制品,钢铁
250,天津码头铁矿粉,线材,钢铁制品,钢铁
251,钢芯铝绞线,线材,钢铁制品,钢铁
252,津布巴粉矿,铁矿,铁矿石,金属矿石
253,导电方钢,线材,钢铁制品,钢铁
254,焊管螺旋管方矩管,线材,钢铁制品,钢铁
255,镀锌角,线材,钢铁制品,钢铁
256,漆抛线,线材,钢铁制品,钢铁
257,钢绞线,线材,钢铁制品,钢铁
258,钱粉,线材,钢铁制品,钢铁
259,甜片油,动植物食用油料、脂肪及制品,经济作物及制品,农、林、牧、渔业产品
260,铗粉,线材,钢铁制品,钢铁
261,钢管焊管套管加螺旋,线材,钢铁制品,钢铁
262,铁精矿,线材,钢铁制品,钢铁
263,精品圆钢天津,线材,钢铁制品,钢铁
264,精品圆钢湖北,线材,钢铁制品,钢铁
265,卷板,卷材,钢 材、合金钢材,钢铁
266,个板,线材,钢铁制品,钢铁
267,r热镀,线材,钢铁制品,钢铁
268,焊管螺旋管热镀管,管材及附件,钢 材、合金钢材,钢铁
269,热镀螺旋方矩管,线材,钢铁制品,钢铁
270,焊管黑方螺旋,线材,钢铁制品,钢铁
271,南粉.%,线材,钢铁制品,钢铁
272,工业线材,线材,钢铁制品,钢铁
273,镀锡板,线材,钢铁制品,钢铁
274,钢筋方管,线材,钢铁制品,钢铁
275,螺旋管+焊管,管材及附件,钢 材、合金钢材,钢铁
276,镀锌圆管,管材及附件,钢 材、合金钢材,钢铁
277,矿粉,线材,钢铁制品,钢铁
278,热轧圆钢,线材,钢铁制品,钢铁
279,马达,线材,钢铁制品,钢铁
280,焊管热镀管钢塑冷水管,管材及附件,钢 材、合金钢材,钢铁
281,钢板,板材,钢 材、合金钢材,钢铁
282,中压电缆,线材,钢铁制品,钢铁
283,克克精品牛皮纸,线材,钢铁制品,钢铁
284,特粉,铁矿,铁矿石,金属矿石
285,同铁矿粉,线材,钢铁制品,钢铁
286,阿巴粉,铁矿,铁矿石,金属矿石
287,热方螺旋,线材,钢铁制品,钢铁
288,矿石粉,线材,钢铁制品,钢铁
289,巴精粉,线材,钢铁制品,钢铁
290,螺旋发蚌埠,线材,钢铁制品,钢铁
291,电煤,线材,钢铁制品,钢铁
292,天津敬业南港铁矿粉,线材,钢铁制品,钢铁
293,石油胶,nan,nan,待定
294,漆包线,线材,钢铁制品,钢铁
295,进口铁矿粉,铁矿,铁矿石,金属矿石
296,乳清粉,线材,钢铁制品,钢铁
297,精制轻量淫涂布纸,线材,钢铁制品,钢铁
298,钢板螺旋,线材,钢铁制品,钢铁
299,其他烟煤,烟煤,原煤,煤炭及制品
300,津巴粉.%,铁矿,铁矿石,金属矿石
301,镍铁加石灰,线材,钢铁制品,钢铁
302,阿巴粉.％,铁矿,铁矿石,金属矿石
303,镀锌接线盒,线材,钢铁制品,钢铁
304,灰板纸,线材,钢铁制品,钢铁
305,钢塑管冀,线材,钢铁制品,钢铁
306,汽车线,线材,钢铁制品,钢铁
307,阿巴粉.%,铁矿,铁矿石,金属矿石
308,灰板双胶纸,线材,钢铁制品,钢铁
309,巴块.%,铁矿,铁矿石,金属矿石
310,电源线,线材,钢铁制品,钢铁
311,巴块.％,铁矿,铁矿石,金属矿石
312,钢塑冷水管螺旋管,线材,钢铁制品,钢铁
313,"南粉,%",线材,钢铁制品,钢铁
314,热轧热处理热处理钢板约其余均是热轧汽运,线材,钢铁制品,钢铁
315,热轧圆钢汽运费用包括转运费仓储费用不含用户代储费,线材,钢铁制品,钢铁
316,模具电线铁笼,线材,钢铁制品,钢铁
317,阿曼粉,线材,钢铁制品,钢铁
318,巴卡粉,线材,钢铁制品,钢铁
319,董家口流畅邢钢超特粉,线材,钢铁制品,钢铁
320,热+钢塑,线材,钢铁制品,钢铁
321,树,线材,钢铁制品,钢铁
322,橡胶SR,线材,钢铁制品,钢铁
323,母线桥,线材,钢铁制品,钢铁
324,杨木浆,线材,钢铁制品,钢铁
325,超细微粉,线材,钢铁制品,钢铁
326,热轧圆钢热轧圆钢汽运,线材,钢铁制品,钢铁
327,漆泡线,线材,钢铁制品,钢铁
328,万里通超特粉,线材,钢铁制品,钢铁
329,永洋巴精粉,线材,钢铁制品,钢铁
330,纽曼粉矿,铁矿,铁矿石,金属矿石
331,漆跑线,线材,钢铁制品,钢铁
332,伊朗粉,线材,钢铁制品,钢铁
333,热镀+钢塑,管材及附件,钢 材、合金钢材,钢铁
334,电线空调配件,线材,钢铁制品,钢铁
335,铁架工具箱,线材,钢铁制品,钢铁
336,油桶,其它日用品,日用工业品,轻工、医药产品
337,电线钢板,线材,钢铁制品,钢铁
338,石英粉,线材,钢铁制品,钢铁
339,柴油机,锅炉、发动机 动力装置及辅助设备,普通工业机械及设备,机械设备、电器
340,热轧船运,线材,钢铁制品,钢铁
341,螺旋加焊管加白方,线材,钢铁制品,钢铁
342,焊管+螺旋管,管材及附件,钢 材、合金钢材,钢铁
343,日丰电线,线材,钢铁制品,钢铁
344,钢架,线材,钢铁制品,钢铁
345,阿拉姆南非中铁,线材,钢铁制品,钢铁
346,漆包线三车一起,线材,钢铁制品,钢铁
347,铜线电子产品,线材,钢铁制品,钢铁
348,P粉矿,铁矿,铁矿石,金属矿石
349,盘螺钢银,线材,钢铁制品,钢铁
350,董家口永洋粉,线材,钢铁制品,钢铁
351,进口矿粉,线材,钢铁制品,钢铁
352,漆包线金品励,线材,钢铁制品,钢铁
353,漆包线空调配件,线材,钢铁制品,钢铁
354,粕,线材,钢铁制品,钢铁
355,电线调拨,线材,钢铁制品,钢铁
356,模板,线材,钢铁制品,钢铁
357,淀粉袋,其它日用品,日用工业品,轻工、医药产品
358,圆钢汽运包车一定要看清楚要求,线材,钢铁制品,钢铁
359,镀锡卷,线材,钢铁制品,钢铁
360,螺旋热方,线材,钢铁制品,钢铁
361,镀锡卷板,线材,钢铁制品,钢铁
362,果树,线材,钢铁制品,钢铁
363,铜线和设备,线材,钢铁制品,钢铁
364,添加剂,线材,钢铁制品,钢铁
365,油煤,线材,钢铁制品,钢铁
366,巴西卡粉,铁矿,铁矿石,金属矿石
367,角铁,线材,钢铁制品,钢铁
368,斯蒂芬麦粉矿,线材,钢铁制品,钢铁
369,宝梅卡粉,线材,钢铁制品,钢铁
370,稻壳粉,线材,钢铁制品,钢铁
371,热镀圆两磅金山,线材,钢铁制品,钢铁
372,热镀发神农架,线材,钢铁制品,钢铁
373,发沙螺旋管,线材,钢铁制品,钢铁
374,德龙超特粉,线材,钢铁制品,钢铁
375,盘螺，线材,线材,钢铁制品,钢铁
376,董家口超特粉,线材,钢铁制品,钢铁
377,铜线,线材,钢铁制品,钢铁
378,巴卡粉矿,线材,钢铁制品,钢铁
379,合板,线材,钢铁制品,钢铁
380,挂板牛腿钢垫箱,线材,钢铁制品,钢铁
381,萨尔瓦多乌精粉品,线材,钢铁制品,钢铁
382,斯蒂芬麦粉,线材,钢铁制品,钢铁
383,翡翠麦粉,线材,钢铁制品,钢铁
384,王牌麦粉,线材,钢铁制品,钢铁
385,黄骅港矿粉,线材,钢铁制品,钢铁
386,胶粉,线材,钢铁制品,钢铁
387,敬业黄骅港标载中信澳洲精粉,线材,钢铁制品,钢铁
388,董家口万里通超特粉,线材,钢铁制品,钢铁
389,日出~巴西粉,铁矿,铁矿石,金属矿石
390,中梅巴卡粉矿,线材,钢铁制品,钢铁
391,镀锡,线材,钢铁制品,钢铁
392,南非粉.,线材,钢铁制品,钢铁
393,电子产品,nan,nan,待定
394,电线电机,线材,钢铁制品,钢铁
395,热镀管焊管钢塑冷水管,线材,钢铁制品,钢铁
396,日出巴西粉,线材,钢铁制品,钢铁
397,日出/巴西粉,铁矿,铁矿石,金属矿石
398,接触线,线材,钢铁制品,钢铁
399,董家口永洋巴粗粉,线材,钢铁制品,钢铁
400,漆包线热水器,线材,钢铁制品,钢铁
401,商河车热镀钢塑,线材,钢铁制品,钢铁
402,发西安螺旋,线材,钢铁制品,钢铁
403,董家口流畅德龙超特粉,线材,钢铁制品,钢铁
404,稀土钢绞线,线材,钢铁制品,钢铁
405,铜线和空轴,线材,钢铁制品,钢铁
406,前湾港巴西砂,线材,钢铁制品,钢铁
407,漆包线模具,线材,钢铁制品,钢铁
408,PVC树脂粉,合成树脂、聚合物,化工品,化工原料及制品
409,萨尓瓦多乌精粉品,线材,钢铁制品,钢铁
410,萨尔瓦多乌精粉,线材,钢铁制品,钢铁
411,贝尔澳大利亚精粉,线材,钢铁制品,钢铁
412,面包铁,生铁,生铁、铁合金、非合金钢,钢铁
413,板油,线材,钢铁制品,钢铁
414,港生麦粉,线材,钢铁制品,钢铁
415,巴西筛后粉,铁矿,铁矿石,金属矿石
416,马里尼卡粉,线材,钢铁制品,钢铁
417,前湾港巴粗粉,线材,钢铁制品,钢铁
418,喜悦巴西精粉,线材,钢铁制品,钢铁
419,红板,线材,钢铁制品,钢铁
420,主焦煤口岸,烟煤,原煤,煤炭及制品
421,食品ANWL,线材,钢铁制品,钢铁
422,麦粉,线材,钢铁制品,钢铁
423,菲尔卡粉,线材,钢铁制品,钢铁
424,线缆,线材,钢铁制品,钢铁
425,铝包钢,线材,钢铁制品,钢铁
426,食品LY,线材,钢铁制品,钢铁
427,艾尔卡粉,线材,钢铁制品,钢铁
428,安达玛麦粉,线材,钢铁制品,钢铁
429,设备LH,线材,钢铁制品,钢铁
430,皮尔巴拉粉矿,线材,钢铁制品,钢铁
431,国梅卡粉,线材,钢铁制品,钢铁
432,调拨漆包线,线材,钢铁制品,钢铁
433,吨箱,线材,钢铁制品,钢铁
434,电线,电工器材,电力设备、电器机械及器材,机械设备、电器
435,前湾港超特粉,线材,钢铁制品,钢铁
436,董家口万里通德龙超特粉,线材,钢铁制品,钢铁
437,敬业黄骅大载精粉,线材,钢铁制品,钢铁
438,淀粉,糕点、面食、谷物食品,饮食品,轻工、医药产品
439,黄岛麦粉,线材,钢铁制品,钢铁
440,棉LH,线材,钢铁制品,钢铁
441,澳洲丸卡粉,线材,钢铁制品,钢铁
442,天津港德龙超特粉,线材,钢铁制品,钢铁
443,前湾港流畅德龙巴西砂,线材,钢铁制品,钢铁
444,前湾港万里通德龙巴西砂,线材,钢铁制品,钢铁
445,巴西粉.,铁矿,铁矿石,金属矿石
446,设备LY,线材,钢铁制品,钢铁
447,模板LY,线材,钢铁制品,钢铁
448,朱塔卡粉,线材,钢铁制品,钢铁
449,镀铬盒板,线材,钢铁制品,钢铁
450,南淀粉,线材,钢铁制品,钢铁
451,模板YG,线材,钢铁制品,钢铁
452,食品,其它未列名饮食及调味食品,饮食品,轻工、医药产品
453,盘条,线材,钢铁制品,钢铁
454,铁矿砂卡洛尔,铁矿,铁矿石,金属矿石
455,天津德龙粉,线材,钢铁制品,钢铁
456,配件,线材,钢铁制品,钢铁
457,带，,线材,钢铁制品,钢铁
458,前湾港永洋新巴粗粉,线材,钢铁制品,钢铁
459,董家口流畅超特粉,线材,钢铁制品,钢铁
460,澳森黄骅港裕光卡粉,线材,钢铁制品,钢铁
461,马口铁镀铬卷,线材,钢铁制品,钢铁
462,空线轴,线材,钢铁制品,钢铁
463,hp线,线材,钢铁制品,钢铁
464,煤粉,线材,钢铁制品,钢铁
465,面板,线材,钢铁制品,钢铁
466,吨包PHJ,线材,钢铁制品,钢铁
467,马口铁镀锡盒板镀锡卷,线材,钢铁制品,钢铁
468,南非粉.％,线材,钢铁制品,钢铁
469,盘螺发港,线材,钢铁制品,钢铁
470,前湾港流畅德龙卡罗巴西砂,线材,钢铁制品,钢铁
471,角铁GYG,线材,钢铁制品,钢铁
472,马口铁镀锡卷,线材,钢铁制品,钢铁
473,麦格尼飞化纤,线材,钢铁制品,钢铁
474,曹妃甸邢台德龙粉,线材,钢铁制品,钢铁
475,面粉LYC,糕点、面食、谷物食品,饮食品,轻工、医药产品
476,前湾港万里通德龙匹粉,线材,钢铁制品,钢铁
477,前湾港流畅德龙匹粉,线材,钢铁制品,钢铁
478,粉天津矿产,线材,钢铁制品,钢铁
479,三友化纤,线材,钢铁制品,钢铁
480,面粉,糕点、面食、谷物食品,饮食品,轻工、医药产品
481,线材圆盘,线材,钢铁制品,钢铁
482,电煤气,线材,钢铁制品,钢铁
483,新衢州巴西粉,线材,钢铁制品,钢铁
484,新衢州 巴西粉,铁矿,铁矿石,金属矿石
485,煤纳源包铝,线材,钢铁制品,钢铁
486,槽钢,型材,钢 材、合金钢材,钢铁
487,天津粉,线材,钢铁制品,钢铁
488,江河金,线材,钢铁制品,钢铁
489,棉纱,布匹（机织、绒织、网织物、纱罗）,针织、纺织、皮毛及制品,轻工、医药产品
490,啤酒桶,其它日用品,日用工业品,轻工、医药产品
491,硅油,nan,nan,待定
492,铝,线材,钢铁制品,钢铁
493,包装,线材,钢铁制品,钢铁
494,水泥板,线材,钢铁制品,钢铁
495,汇线桥架,线材,钢铁制品,钢铁
496,面粉箱装头道粉,线材,钢铁制品,钢铁
497,塞拉利昂粉矿,线材,钢铁制品,钢铁
498,散粉,线材,钢铁制品,钢铁
499,纽曼粉,铁矿,铁矿石,金属矿石
500,海角乌精粉低硫,线材,钢铁制品,钢铁
501,角高硫乌精粉,线材,钢铁制品,钢铁
502,角乌兰精粉,线材,钢铁制品,钢铁
503,乌兰精粉,线材,钢铁制品,钢铁
504,岚桥矿粉,线材,钢铁制品,钢铁
505,合金锭圆柱锭,线材,钢铁制品,钢铁
506,铁矿砂库,铁矿,铁矿石,金属矿石
507,德盛海马来矿,线材,钢铁制品,钢铁
508,日照龙安德龙巴粗粉,线材,钢铁制品,钢铁
509,天津锦亿粉,线材,钢铁制品,钢铁
510,中文汇通粉,线材,钢铁制品,钢铁
511,钢支撑牛腿挂板,线材,钢铁制品,钢铁
512,格拉索粉,线材,钢铁制品,钢铁
513,前湾港万里通粉,线材,钢铁制品,钢铁
514,前湾港德龙流畅粉,线材,钢铁制品,钢铁
515,南非粗粉,铁矿,铁矿石,金属矿石
516,比速西部粉,线材,钢铁制品,钢铁
517,江河金鱼浆,线材,钢铁制品,钢铁
518,瑞钢联金步巴粉,线材,钢铁制品,钢铁
519,砂,线材,钢铁制品,钢铁
520,天虹穿线管,线材,钢铁制品,钢铁
521,天津港德龙热压铁块,线材,钢铁制品,钢铁
522,12螺纹,线材,钢铁制品,钢铁
523,钢管12米,线材,钢铁制品,钢铁
524,螺纹钢HRB400E,线材,钢铁制品,钢铁
525,螺纹钢22,线材,钢铁制品,钢铁
526,219X65钢管,线材,钢铁制品,钢铁
527,螺纹钢,线材,钢铁制品,钢铁
528,三级螺纹钢,线材,钢铁制品,钢铁
529,三级螺纹钢14mm,线材,钢铁制品,钢铁
530,三级螺纹钢12mm,线材,钢铁制品,钢铁
531,HRB400E18螺纹,线材,钢铁制品,钢铁
532,12螺纹16吨,线材,钢铁制品,钢铁
533,14螺纹,线材,钢铁制品,钢铁
534,螺纹钢18,线材,钢铁制品,钢铁
535,螺纹,线材,钢铁制品,钢铁
