货物全称,一级分类,二级分类,三级分类
电容器设备,机械设备、电器,电子、电讯设备及器材,电子、光、磁、超声波装置的元器件、零件、附件
电压互感器设备,机械设备、电器,电子、电讯设备及器材,电子、光、磁、超声波装置的元器件、零件、附件
口罩,轻工、医药产品,针织、纺织、皮毛及制品,其它未列名针织、纺织、皮革及制品
87859205饮料,轻工、医药产品,饮食品,饮料、果菜汁
42精品绵竹头曲,轻工、医药产品,饮食品,其它未列名饮食及调味食品
生态舍得酒坊,轻工、医药产品,饮食品,酒（白酒、啤酒、果酒类）
紫林醋,轻工、医药产品,饮食品,其它未列名饮食及调味食品
矿泉水4203763,轻工、医药产品,饮食品,饮料、果菜汁
打底裤,轻工、医药产品,针织、纺织、皮毛及制品,服装
休闲裤,轻工、医药产品,针织、纺织、皮毛及制品,服装
双排扣大衣,轻工、医药产品,针织、纺织、皮毛及制品,服装
牛仔裤,轻工、医药产品,针织、纺织、皮毛及制品,服装
卫衣,轻工、医药产品,针织、纺织、皮毛及制品,服装
卫衣,轻工、医药产品,针织、纺织、皮毛及制品,服装
牛仔裤,轻工、医药产品,针织、纺织、皮毛及制品,服装
针织衫,轻工、医药产品,针织、纺织、皮毛及制品,针织、纺织制品
连衣裙,轻工、医药产品,针织、纺织、皮毛及制品,服装
大衣,轻工、医药产品,针织、纺织、皮毛及制品,服装
西裤,轻工、医药产品,针织、纺织、皮毛及制品,服装
呢大衣,轻工、医药产品,针织、纺织、皮毛及制品,服装
款风衣,轻工、医药产品,针织、纺织、皮毛及制品,服装
囚服,轻工、医药产品,针织、纺织、皮毛及制品,服装
狮牌浆,轻工、医药产品,纸及制品(十类),纸浆
吸油烟机,机械设备、电器,电力设备、电器机械及器材,家用电器
鸡精+宣传品,轻工、医药产品,饮食品,其它未列名饮食及调味食品
52红标绵竹大曲,农、林、牧、渔业产品,竹、木、藤、花、草,竹
52红标绵竹大,农、林、牧、渔业产品,竹、木、藤、花、草,竹
糖果,轻工、医药产品,饮食品,糖果、蜜饯、果脯
服装辅料,轻工、医药产品,针织、纺织、皮毛及制品,其它未列名针织、纺织、皮革及制品
陶瓷,轻工、医药产品,日用工业品,陶瓷制品
纱布,轻工、医药产品,针织、纺织、皮毛及制品,纱、线、丝、纤维（非复合材料）
花生油,农、林、牧、渔业产品,经济作物及制品,动植物食用油料、脂肪及制品
真空食品,轻工、医药产品,饮食品,其它未列名饮食及调味食品
色拉油,农、林、牧、渔业产品,经济作物及制品,动植物食用油料、脂肪及制品
红牛饮料,轻工、医药产品,饮食品,饮料、果菜汁
灯罩,轻工、医药产品,日用工业品,灯具、照明装置、发光标志、牌照
奶茶果冻,轻工、医药产品,饮食品,其它未列名饮食及调味食品
汽车玻璃,轻工、医药产品,日用工业品,玻璃制品
食用糖,轻工、医药产品,饮食品,糖（固体、浆）
结晶葡萄糖,轻工、医药产品,饮食品,糖（固体、浆）
甜面酱,轻工、医药产品,饮食品,其它未列名饮食及调味食品
切割油,农、林、牧、渔业产品,经济作物及制品,动植物食用油料、脂肪及制品
仪表,机械设备、电器,仪器仪表、计量器具、工具,仪器仪表
仪器,机械设备、电器,仪器仪表、计量器具、工具,仪器仪表
床上用品,轻工、医药产品,日用工业品,家具、坐具
树苗,农、林、牧、渔业产品,竹、木、藤、花、草,树木
水晶剑南春,轻工、医药产品,饮食品,饮料、果菜汁
茶叶,轻工、医药产品,饮食品,茶叶、咖啡、可可（豆、粉）
热水器及配件,机械设备、电器,电力设备、电器机械及器材,家用电器
橱柜,轻工、医药产品,日用工业品,家具、坐具
灯饰,轻工、医药产品,日用工业品,灯具、照明装置、发光标志、牌照
美的冰箱,机械设备、电器,电力设备、电器机械及器材,家用电器
啤酒瓶,轻工、医药产品,日用工业品,玻璃制品
粘胶纤维,轻工、医药产品,针织、纺织、皮毛及制品,纱、线、丝、纤维（非复合材料）
64克精制轻量涂布纸1260,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克胶版印刷纸8901240,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆复印纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
50克精制轻量涂布纸,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克胶版印刷纸7871092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆胶版纸889X1194,轻工、医药产品,纸及制品(十类),纸板（原纸）
90克全木浆胶版纸830X1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
雪松,农、林、牧、渔业产品,竹、木、藤、花、草,树木
镀锌管33T,钢铁,钢 材、合金钢材,管材及附件
14中板,钢铁,钢 材、合金钢材,板材
方矩管32T,钢铁,钢 材、合金钢材,管材及附件
16中板,钢铁,钢 材、合金钢材,板材
12中板,钢铁,钢 材、合金钢材,板材
焊管30T,钢铁,钢 材、合金钢材,管材及附件
焊管32T,钢铁,钢 材、合金钢材,管材及附件
铸坯,钢铁,钢 材、合金钢材,铸、锻钢材
64克精制轻量涂布纸880X11240,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克精制轻量涂布纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶板印刷纸880x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸1232,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶版印刷纸780,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
24中板,钢铁,钢 材、合金钢材,板材
80克胶版印刷纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克胶版印刷纸845,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸960X640,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
73克精制轻量涂布纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
35中板,钢铁,钢 材、合金钢材,板材
方矩管45T,钢铁,钢 材、合金钢材,管材及附件
奶制品,轻工、医药产品,饮食品,乳制品，蜂蜜、王浆、粉
78克胶版印刷纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸1092X787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克精制轻量涂布纸880x1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
矩形管,钢铁,钢 材、合金钢材,管材及附件
番茄酱,轻工、医药产品,饮食品,其它未列名饮食及调味食品
75克精制轻量涂布纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克精制轻量涂布纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶印书刊787X1092,轻工、医药产品,文化体育用品,印刷品
64克精制轻量涂布纸850X1120,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
片烟,农、林、牧、渔业产品,经济作物及制品,烟叶、烟草、卷烟、雪茄及代用品
焊管17T,钢铁,钢 材、合金钢材,管材及附件
120克象牙白道林纸710X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸865X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸715,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
62克精制轻量涂布纸710X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克精制轻量涂布纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
30钢板,钢铁,钢 材、合金钢材,板材
55克胶版印刷纸760,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸895,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸915,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
热方41T,钢铁,钢 材、合金钢材,管材及附件
焊管40T,钢铁,钢 材、合金钢材,管材及附件
70克胶版印刷纸870X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
纸品,轻工、医药产品,纸及制品(十类),其它纸及制品
70克精制轻量涂布纸815,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
22钢板,钢铁,钢 材、合金钢材,板材
78克象牙白道林纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克象牙白道林纸720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸830,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
32钢板,钢铁,钢 材、合金钢材,板材
黑方白方33T,钢铁,钢 材、合金钢材,管材及附件
18钢板,钢铁,钢 材、合金钢材,板材
叉车配件,机械设备、电器,交通运输设备,道路机动车辆
工程车,机械设备、电器,交通运输设备,道路机动车辆
14钢板,钢铁,钢 材、合金钢材,板材
70克象牙白道林纸1000X710,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克胶版印刷纸440,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶印书刊880,轻工、医药产品,文化体育用品,印刷品
烧结矿,金属矿石,铁矿石,铁矿
38钢板,钢铁,钢 材、合金钢材,板材
热方45T,钢铁,钢 材、合金钢材,管材及附件
黑方+白方,钢铁,钢 材、合金钢材,管材及附件
铝13896325131,有色金属,铝,精铝及铝材
100克精制轻量涂布纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸780,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
热方7米6,钢铁,钢 材、合金钢材,管材及附件
热方50T,钢铁,钢 材、合金钢材,管材及附件
铁矿石,金属矿石,铁矿石,铁矿
焊管15T,钢铁,钢 材、合金钢材,管材及附件
车辆底盘,机械设备、电器,交通运输设备,道路机动车辆
焊管45T,钢铁,钢 材、合金钢材,管材及附件
80克精制轻量涂布纸889X1180,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
喷塑机配件,机械设备、电器,专用机械、设备及制品,轻工业机械及零件
坯布,轻工、医药产品,针织、纺织、皮毛及制品,其它未列名针织、纺织、皮革及制品
68克象牙白道林纸720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
五金配件,钢铁,钢铁制品,钢铁件及其它五金制品
78克精制轻量涂布纸720x1015,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
铁丝,钢铁,钢 材、合金钢材,条、杆、角、网、栅、丝材
78克胶版印刷纸780,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
65克胶板印刷纸865,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克精制轻量涂布纸710X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克精制轻量涂布纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
豌豆,粮食,杂粮,杂豆
78克精制轻量涂布纸720X1015,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
方+焊管,钢铁,钢 材、合金钢材,管材及附件
80克胶版印刷纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸640,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克胶版印刷纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
竹子,农、林、牧、渔业产品,竹、木、藤、花、草,竹
红酒,轻工、医药产品,饮食品,酒（白酒、啤酒、果酒类）
70克胶版印刷纸870x1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克精制轻量涂布纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克精制轻量涂布纸860,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
7078克精制轻量涂布纸765,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸715,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
淋膜纸,轻工、医药产品,纸及制品(十类),其它纸及制品
70克精制轻量涂布纸865,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸889X1994,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸889X1994,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
郎酒,轻工、医药产品,饮食品,酒（白酒、啤酒、果酒类）
70克胶版印刷纸765,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
84克精制轻量涂布纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
22中板,钢铁,钢 材、合金钢材,板材
料理机,机械设备、电器,电力设备、电器机械及器材,家用电器
热轧钢卷,钢铁,钢 材、合金钢材,卷材
70克精制轻量涂布纸787X1112,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
电子屏,机械设备、电器,电子、电讯设备及器材,电子、光、磁、超声波装置的元器件、零件、附件
64克精制轻量涂布纸760,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克精制轻量涂布纸781,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
62克精制轻量涂布纸840,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克精制轻量涂布纸1140,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
五金件,钢铁,钢铁制品,钢铁件及其它五金制品
58克精制轻量涂布纸1010X715,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
液压泵,机械设备、电器,普通工业机械及设备,通用零部件
58克精制轻量涂布纸1015,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管黑方,钢铁,钢 材、合金钢材,管材及附件
58克精制轻量涂布纸783,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克精制轻量涂布纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管45,钢铁,钢 材、合金钢材,管材及附件
58克精制轻量涂布纸781,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸870X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸1030,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸1180,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸925,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
方管50吨,钢铁,钢 材、合金钢材,管材及附件
t铁矿砂,金属矿石,铁矿石,铁矿
焊管12,钢铁,钢 材、合金钢材,管材及附件
焊管15,钢铁,钢 材、合金钢材,管材及附件
焊管35吨,钢铁,钢 材、合金钢材,管材及附件
80克胶版印刷纸550X2,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
洗护套装,化工原料及制品,日用化工品,卫生品(洗涤剂、皂类)
架子管,钢铁,钢铁制品,钢铁件及其它五金制品
TCL空调,机械设备、电器,电力设备、电器机械及器材,家用电器
TCL电视,机械设备、电器,电力设备、电器机械及器材,家用电器
58克胶版印刷纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
26中板,钢铁,钢 材、合金钢材,板材
80克精制轻量涂布纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸710X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
桥架,钢铁,钢铁制品,钢铁材料、结构体
铁矿砂t,金属矿石,铁矿石,铁矿
焊管34T,钢铁,钢 材、合金钢材,管材及附件
80克胶版印刷纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
电视机,机械设备、电器,电力设备、电器机械及器材,家用电器
焊管32,钢铁,钢 材、合金钢材,管材及附件
28中板,钢铁,钢 材、合金钢材,板材
焊管33,钢铁,钢 材、合金钢材,管材及附件
焊管23T,钢铁,钢 材、合金钢材,管材及附件
振动筛设备,机械设备、电器,普通工业机械及设备,通用设备
78克象牙白道林纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克象牙白道林纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管3435吨,钢铁,钢 材、合金钢材,管材及附件
原木纸浆板,轻工、医药产品,纸及制品(十类),纸浆
菜籽,农、林、牧、渔业产品,经济作物及制品,动植物食用油料、脂肪及制品
焊管19T,钢铁,钢 材、合金钢材,管材及附件
压路机,机械设备、电器,专用机械、设备及制品,重工业机械、工程机械及零件
电子屏M,机械设备、电器,电子、电讯设备及器材,电子、光、磁、超声波装置的元器件、零件、附件
78克胶版印刷纸710,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
商品车f,机械设备、电器,交通运输设备,道路机动车辆
铝,有色金属,铝,精铝及铝材
65克胶版印刷纸640,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
65克胶版印刷纸1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
65克胶版印刷纸720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克胶版印刷纸720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
碎布,轻工、医药产品,针织、纺织、皮毛及制品,布匹（机织、绒织、网织物、纱罗）
78克胶版印刷纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
商品车t,机械设备、电器,交通运输设备,道路机动车辆
100克象牙道林纸880x1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克象牙道林纸710x1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克象牙道林纸710x1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克象牙道林纸710x1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克象牙道林纸889x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
空瓶,轻工、医药产品,日用工业品,玻璃制品
立体车库配件,机械设备、电器,专用机械、设备及制品,其它专用机械、设备
焊34管5,钢铁,钢 材、合金钢材,管材及附件
黑方+焊管,钢铁,钢 材、合金钢材,管材及附件
80克精制轻量涂布纸930,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
椅子,轻工、医药产品,日用工业品,家具、坐具
80克精制轻量涂布纸720x1060,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸720x1060,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
矩管方管,钢铁,钢 材、合金钢材,管材及附件
70克胶版印刷纸889x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸700,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
橡胶BR9000,化工原料及制品,橡胶,合成橡胶
H型钢500,钢铁,钢 材、合金钢材,型材
60克胶印书刊760,轻工、医药产品,文化体育用品,印刷品
橡胶BR900,化工原料及制品,橡胶,合成橡胶
80克象牙白道林纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克精制轻量涂布纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
77克精制轻量涂布纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
热方+方矩管,钢铁,钢 材、合金钢材,管材及附件
60克胶版印刷纸956,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸1016,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸889x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
液晶屏,机械设备、电器,电子、电讯设备及器材,电子、光、磁、超声波装置的元器件、零件、附件
78克精制轻量涂布纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
烘缸,机械设备、电器,专用机械、设备及制品,制冷、加热、燃烧设备
58克精制轻量涂布纸1010x715,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
客车,机械设备、电器,交通运输设备,道路机动车辆
64克精制轻量涂布纸760x690,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
巴士车,机械设备、电器,交通运输设备,道路机动车辆
80克精制轻量涂布纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
汾酒,轻工、医药产品,饮食品,酒（白酒、啤酒、果酒类）
80克精制轻量涂布纸775,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
32中板,钢铁,钢 材、合金钢材,板材
热方+焊管,钢铁,钢 材、合金钢材,管材及附件
58克精制轻量涂布纸889X1240,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸600,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克精制轻量涂布纸720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸710x1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸710x1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸880x1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
摊铺机,机械设备、电器,专用机械、设备及制品,重工业机械、工程机械及零件
64克精制轻量涂布纸1096,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克胶版印刷纸1010,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克胶版印刷纸640,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
摊铺机配件,机械设备、电器,专用机械、设备及制品,重工业机械、工程机械及零件
TCL冰箱,机械设备、电器,电力设备、电器机械及器材,家用电器
轨道配件,机械设备、电器,交通运输设备,其它运输辅件及器材
瓷器,轻工、医药产品,日用工业品,陶瓷制品
摊铺机及配件,机械设备、电器,专用机械、设备及制品,重工业机械、工程机械及零件
商品车l,机械设备、电器,交通运输设备,道路机动车辆
70克精制轻量涂布纸870X1184,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸635,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸965,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
电梯,机械设备、电器,普通工业机械及设备,通用设备
70克胶板印刷纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
白方焊管,钢铁,钢 材、合金钢材,管材及附件
方管+焊管,钢铁,钢 材、合金钢材,管材及附件
70克胶版印刷纸880x1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
纸杯,轻工、医药产品,纸及制品(十类),其它纸及制品
通讯设备,机械设备、电器,电子、电讯设备及器材,通信导航设备
曲奇饼,轻工、医药产品,饮食品,糕点、面食、谷物食品
58克精制轻量涂布纸1092X787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸1194X889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸1015X720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸1040X720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸720X1060,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
液晶材料,机械设备、电器,电子、电讯设备及器材,电子、光、磁、超声波装置的元器件、零件、附件
旅游车,机械设备、电器,交通运输设备,道路机动车辆
卷板ban,钢铁,钢 材、合金钢材,卷材
脚手管,钢铁,钢 材、合金钢材,管材及附件
摊铺机和配件,机械设备、电器,专用机械、设备及制品,重工业机械、工程机械及零件
58克精制轻量涂布纸1020,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸1520,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸1420,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸870X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶版印刷纸890,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克胶版印刷纸860,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
热矩管,钢铁,钢 材、合金钢材,管材及附件
沙发床,轻工、医药产品,日用工业品,家具、坐具
70克精制轻量涂布纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
白色家电,机械设备、电器,电力设备、电器机械及器材,家用电器
64精制轻量涂布纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克精制轻量涂布纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶印书刊787x1092,轻工、医药产品,文化体育用品,印刷品
香菇,农、林、牧、渔业产品,蔬菜、瓜果及籽实籽仁,食用菌及山菜、海菜
70克胶板印刷纸720x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶板印刷纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
77克胶版印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
77克胶版印刷纸635,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
77克胶版印刷纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
